TxHash,Nonce,Timestamp,Sender,Receiver,Function,Value,MiniBlockHash,Status
88f53b8f9e492d35e969c7a7166280f4d4ff624f9520593e9d91d52ac43c9586,3031,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd16nga67u0uqdwxv3q8y0mnxjwauyr7fxyjv9gr05mrcr0g66t8hes5n3psj,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
3344d43ff26a55e04bdb7b664bafd48f6228793b003b412307d81046f69dfb61,3029,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd19kvvgc5nzd4pftezx363tv5gyn9mm9zty9lpjfluq6q68n8t7dss0ymssw,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
6e8c19f8e333efa2cadbbd59deb60764c2c6d3d69686c4034fe8b3d894866ab7,3028,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd1hdz7h6q6pxlznyv7yefvss8ua4ev2rhx8m8jy25fy6kfv5ct7wysvpkc4l,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
4c191907c7f48307cf39f72568c8dacd8498081b5249a989da1c46497866a33d,3027,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd1wp384guqywfpq09tqs4wlssf3r7qlr03767r803mr0lhn52gh46s0fchhr,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
3564e788d745273d7f7a4d6c77380cb06c0a151635d15ad218a5b82c4ece723c,3026,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd10p3kl2yek0npcxydr0q4h2a64x5hf95hczumv6rcm8u2jgydq3fsd7mn4h,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
d36934b9fdc09382297487524a5105cfa43c1efe494932d2ced4b4e0a2317bd0,3025,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd1dkr90pyt8gw65jj3mx8me8ra5kp7l0wfs9vt9ae5pm8ltv7kzcns3uqjqa,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
10dcc332a5293c3af5d4cdee7431c67f585326f9b284317fac2c745820d27cc9,3024,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd13uy2j00t7w57tjgz899ys39ta47u3emm54vxrl2c0p0unu3cqjks9eeu8z,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
76d1209b3aab8e2253a5c541c2269a797d7de46a4b1b7fde742641c4263dec42,3021,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd1dcmwrc7hk7gd8clhdguf8cvxx682y484j3rycgrmd760twxxhhfs0g6z95,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
4884393be1a85652b5f17d674a08f4f1ea7871a4adc4342865c2a8fc99f5bcce,3020,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd1dt0wurthc5v50wz0aguw5amxcwy2fry939qthqt93r6kntqwp3sq63mw3d,ESDTTransfer,0,dea20e78994155644f80a938a3906810e69a33739bd0a67d077153ec1a19bdc9,success
218238ecc93a7f5c7d1e38c77706105be29958fba962a96dca8ab4ed319912ce,3019,2024-12-06T12:09:24Z,erd10fknux996mp7nauw8wklu2rs7sskmtwdj85aqw4qd7w2wrksf68qnvfldr,erd1usv054j3pay9rmhf8el4y0v4mxcwa5gj0c6kkwqjutqyh459cjasx4srgf,ESDTTransfer,0,7a11b82782c0bca89cecfe95b90fa96e0a91468c92ca7c9d631b23b3e424cfc9,success
